source,metric,budget_chars,family,candidate,baseline,n_pairs,n_independent_units,n_repeated_measures,inference_method,inferential_test,multiplicity_family,candidate_rate,baseline_rate,risk_difference,ci95_low,ci95_high,candidate_only_success,baseline_only_success,mcnemar_p,holm_p,holm_family_size
context,context_success,8000,semantic_paraphrase,fused_hybrid,latest_only,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.0,1.0,1.0,1.0,100,0,1.5777218104420236e-30,2.0510383535746307e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,raw_recent,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.0,1.0,1.0,1.0,100,0,1.5777218104420236e-30,2.0510383535746307e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,short_term,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.0,1.0,1.0,1.0,100,0,1.5777218104420236e-30,2.0510383535746307e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,long_term,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.03,0.97,0.93,1.0,97,0,1.262177448353619e-29,7.573064690121713e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.03,0.97,0.93,1.0,97,0,1.262177448353619e-29,7.573064690121713e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,bm25_long_term,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.01,0.99,0.97,1.0,99,0,3.1554436208840472e-30,3.155443620884047e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,bm25_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.01,0.99,0.97,1.0,99,0,3.1554436208840472e-30,3.155443620884047e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,dense_long_term,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,dense_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,matched_sparse_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.01,0.99,0.97,1.0,99,0,3.1554436208840472e-30,3.155443620884047e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,union_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.03,0.97,0.93,1.0,97,0,1.262177448353619e-29,7.573064690121713e-29,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,rrf_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,13
context,context_success,8000,semantic_paraphrase,fused_hybrid,cascade_hybrid,100,100,1,paired_bootstrap,exact_mcnemar,context:definitive_all_methods,1.0,0.01,0.99,0.97,1.0,99,0,3.1554436208840472e-30,3.155443620884047e-29,13
